dataset,IForest,LOF,OCSVM,KNN,PCA,MCM,DRL,Disent,MemPAE-ws-pos-d64-lr0.001-t0.1,MemPAE-ws-local+global-sqrt_F1.0-sqrt_N1.0-mlp_enc_mixer-d64-lr0.001-t0.1,MemPAE-ws-local+global-sqrt_F1.0-sqrt_N1.0-mlp_dec_mixer-d64-lr0.001-t0.1,MemPAE-ws-local+global-sqrt_F1.0-sqrt_N1.0-mlp_enc_dec_mixer-d64-lr0.001-t0.1
G_mam,0.9975,0.8849,0.9918,0.9932,0.9842,0.9957,0.9974,0.9812,0.9953,0.995,0.9967,0.9842
G_satl,0.998,1.0,1.0,1.0,0.9962,0.9879,1.0,0.9975,1.0,1.0,1.0,0.9962
G_sati,0.9313,1.0,0.9998,1.0,0.8461,0.6852,1.0,0.9603,1.0,1.0,1.0,0.8468
G_opt,1.0,0.8956,0.9963,0.9937,0.0559,0.9957,0.9995,0.9911,0.9945,0.9934,0.9931,0.9939
G_thy,0.9928,0.9648,0.9848,0.9754,0.9644,0.9862,0.9905,0.9681,0.9874,0.9845,0.9876,0.9644
G_cart,1.0,0.9995,0.9999,0.9999,0.5526,0.999,0.9999,0.9983,0.9999,0.9994,0.9997,0.9993
G_ion,0.9401,0.963,0.9988,0.9999,0.8671,0.4902,0.9974,0.8527,0.9999,0.9699,0.988,0.8663
G_car,1.0,0.9981,0.9996,0.9996,0.4224,0.9996,1.0,0.9966,0.9994,0.9994,0.9992,0.9993
G_pm,0.9951,0.9841,0.9916,0.9924,0.9861,0.9924,0.9731,0.9637,0.9915,0.9873,0.9903,0.9868
G_bre,0.9973,0.9261,0.9968,0.9941,0.9956,0.9921,0.9897,0.9952,0.994,0.9928,0.995,0.9956
AVG_AUC,0.9852,0.9616,0.9959,0.9948,0.7671,0.9124,0.9948,0.9705,0.9962,0.9922,0.9949,0.9633
AVG_RANK,3.5455,8.7273,4.4545,4.5455,10.1818,8.0,4.9091,9.5455,3.8182,6.5455,5.0909,8.6364
